"album_name","track_name","line","lyric"
"Taylor Swift","Mary's Song (Oh My My My)",22,"Two A.M. riding in your truck, and all I need is you next to me"
"Taylor Swift","Mary's Song (Oh My My My)",23,"Take me back to the time we had our very first fight"
"Taylor Swift","Mary's Song (Oh My My My)",24,"The slamming of doors instead of kissing goodnight"
"Taylor Swift","Mary's Song (Oh My My My)",25,"You stayed outside 'til the morning light"
"Taylor Swift","Mary's Song (Oh My My My)",26,"Oh my, my, my, my"
"Taylor Swift","Mary's Song (Oh My My My)",27,"A few years had gone and come around"
"Taylor Swift","Mary's Song (Oh My My My)",28,"We were sitting at our favorite spot in town"
"Taylor Swift","Mary's Song (Oh My My My)",29,"And you looked at me, got down on one knee"
"Taylor Swift","Mary's Song (Oh My My My)",30,"Take me back to the time when we walked down the aisle"
"Taylor Swift","Mary's Song (Oh My My My)",31,"Our whole town came and our mamas cried"
"Taylor Swift","Mary's Song (Oh My My My)",32,"You said ""I do"" and I did too"
"Taylor Swift","Mary's Song (Oh My My My)",33,"Take me home where we met so many years before"
"Taylor Swift","Mary's Song (Oh My My My)",34,"We'll rock our babies on that very front porch"
"Taylor Swift","Mary's Song (Oh My My My)",35,"After all this time, you and I"
"Taylor Swift","Mary's Song (Oh My My My)",36,"I'll be eighty-seven; you'll be eighty-nine"
"Taylor Swift","Mary's Song (Oh My My My)",37,"I'll still look at you like the stars that shine"
"Taylor Swift","Mary's Song (Oh My My My)",38,"In the sky, oh my, my, my"
"Taylor Swift","Our Song",1,"I was ridin' shotgun with my hair undone"
"Taylor Swift","Our Song",2,"In the front seat of his car"
"Taylor Swift","Our Song",3,"He's got a one-hand feel on the steering wheel"
"Taylor Swift","Our Song",4,"The other on my heart"
"Taylor Swift","Our Song",5,"I look around, turn the radio down"
"Taylor Swift","Our Song",6,"He says, ""Baby, is something wrong?"""
"Taylor Swift","Our Song",7,"I say, ""Nothin', I was just thinkin'"
"Taylor Swift","Our Song",8,"How we don't have a song"""
"Taylor Swift","Our Song",9,"And he says"
"Taylor Swift","Our Song",10,"Our song is the slamming screen door"
"Taylor Swift","Our Song",11,"Sneakin' out late, tapping on your window"
"Taylor Swift","Our Song",12,"When we're on the phone and you talk real slow"
"Taylor Swift","Our Song",13,"'Cause it's late and your mama don't know"
"Taylor Swift","Our Song",14,"Our song is the way you laugh"
"Taylor Swift","Our Song",15,"The first date: ""Man, I didn't kiss her, and I should have"""
"Taylor Swift","Our Song",16,"And when I got home 'fore I said amen"
"Taylor Swift","Our Song",17,"Asking God if he could play it again"
"Taylor Swift","Our Song",18,"I was walking up the front porch steps"
"Taylor Swift","Our Song",19,"After everything that day"
